Time (seconds),Standard Deviation
0,1.0183464686485293
1,0.83044894219718
2,1.3106461019127353
3,1.2165086330270225
4,1.815114971342012
5,1.7225408973318348
6,2.007831273296667
7,2.0782103587595104
8,1.8278262777591048
9,1.9434048808197177
10,2.032457625682222
11,2.969591266089282
12,3.022209045978748
13,3.2780003266452415
14,3.25874001545617
15,3.855484029929981
16,3.0229028587194082
17,3.1840186390748424
18,2.708639994782718
19,3.081928590078885
20,3.0404604531942243
21,2.8802699390653475
22,1.8367239050288908
23,0.9276662743795214
24,2.5981124530903377
25,2.5261742283217448
26,3.182405542710983
27,3.375979571780038
28,3.5089189344748877
29,3.56014611965169
30,3.781350057444421
31,1.4620361331120875
32,4.008279701001801
33,3.513246936237281
34,0.8584451997028191
35,2.24668594476638
36,1.767150658177918
37,0.9762643118961484
38,0.7342694998109651
39,0.8655597782442246
40,0.6537177158339137
41,0.6408853057420076
42,0.7158480317070313
43,0.7138432098142867
44,0.6551411555425071
45,0.6314112317674487
46,0.6071746277723128
47,0.5392581122309328
48,0.5119075362499642
49,0.3697996712839206
50,0.47025767649655253
51,0.5607948748429317
52,0.5820597321828078
53,0.625620396743788
54,0.6886997802606588
55,0.6650895145542933
56,0.6980708924239662
57,0.8254694924007634
58,1.2616847807645113
59,1.695912036584711
60,1.046057988169824
61,0.84883186173441
62,0.890484237074048
63,0.8846710259525682
64,1.0211058533041888
65,1.0956012637866
66,0.9950192338292155
67,1.002516019715584
68,0.9546081672586947
69,1.0293215010072851
70,1.0879198702078572
71,1.1568071529857276
72,1.1929022013022068
73,1.2479971837490988
74,1.0926081986447715
75,1.2411168037712323
76,1.2028445102107943
77,1.197191620506857
78,1.225941351151559
79,1.872011776577362
80,1.9576308749217073
81,0.2303212473546895
82,0.2610100051243197
83,0.228570826598096
84,0.1977706274774565
85,0.2528500096662814
86,0.2802265034512012
87,0.2905618648498238
88,0.3317117877974695
89,0.3076633186329515
90,0.32473255493002706
91,0.2776888953020983
92,0.21100210400855351
93,0.1384244801060375
94,0.171380296724704
95,0.24245715393695702
96,0.266350673364128
97,0.29361641573053576
98,0.2982716246950493
99,0.2624697007702153
100,0.3143433993121036
101,0.3620112663188299
102,0.22225108031566293
103,0.24492546850629465
104,0.2754056753999451
105,0.2014511792077162
106,0.18279160946592574
107,0.10340525268556076
108,0.10342405258529459
109,0.07246959232478335
110,0.11759990079669172
111,0.1205580776050199
112,0.27982846859742766
113,0.05006893725002988
114,0.04386977245650809
115,0.045461690856187315
116,0.05782154466366935
117,0.0724693999917638
118,0.06832616264843476
119,0.10611247260282823
120,0.09460870976208391
121,0.1188867717559445
122,0.1525960902650651
123,0.16679036968845043
124,0.21159978773230664
125,0.19841451162305868
126,0.16346359466594193
127,0.13977958279167996
128,0.14087914954161224
129,0.09173792363958044
130,0.07490241870856883
131,0.08969952655955524
132,0.07920805887133033
133,0.08853800735055112
134,0.0734489598952473
135,0.07307438849746783
136,0.08262802028558201
137,0.1159449611829196
138,0.13157527705854816
139,0.15033652668635805
140,0.10099068722943358
141,0.09475988635509253
142,0.13512692550369412
143,0.09024629021296512
144,0.13624083551927602
145,0.10766020366359164
146,0.12352361812013359
147,0.08313854883696035
148,0.04908102225637138
149,0.09360523100437294
150,0.029759201906250404
151,0.23186901681577704
152,0.06475278524571862
153,0.021617164815693184
154,0.046908920149760405
155,0.07081169104083027
156,0.0758323677205919
157,0.06913744603940787
158,0.061971554096074966
159,0.0776899686193751
160,0.04260020160290872
161,0.050516357543770415
162,0.034288952317370294
163,0.032261559210115406
164,0.0626822179131143
165,0.019553886280931604
166,0.04032435665509928
167,0.07453765096746762
168,0.06888141920475861
169,0.03773399485102423
170,0.03400018983583703
171,0.09955278766875997
172,0.10574468610468145
173,0.10654255812251745
174,0.1456499849333981
175,0.21012563312329222
176,0.22435093525445254
177,0.20258157760232837
178,0.2090196220828692
179,0.15677179968456553
180,0.11894795438098925
181,0.11313201892590131
182,0.10404404298223205
183,0.1465405202864389
184,0.13144166304650848
185,0.1148706415488177
186,0.14888063841557428
187,0.12111041748210616
188,0.11718851574704915
189,0.0959202567543853
190,0.17770352543433848
191,0.1508767556504837
192,0.0907265471987254
193,0.09604085588627514
194,0.09351092806547058
195,0.08505535141354183
196,0.10536987644115633
197,0.10588252148098623
198,0.12847680808844744
199,0.11615705394873162
200,0.12702643413040748
201,0.16221414309077192
202,0.15986937688383385
203,0.10500606064797094
204,0.08991235859083568
205,0.11110064528974369
206,0.11251519746919193
207,0.10352488650784213
208,0.0586404620112602
209,0.07500865403570024
210,0.07709426542374394
211,0.07629693478546357
212,0.08985383194950793
213,0.13971815848973265
214,0.12366159897726318
215,0.1971463463608145
216,0.1606682694830736
217,0.17134355831558237
218,0.22487800767595761
219,0.21205140365959885
220,0.2003712860599522
221,0.11612451030854884
222,0.11926793354429056
223,0.101418520221933
224,0.09583557940350299
225,0.11142577283768965
226,0.1380447884006661
227,0.15812204602528057
228,0.17054283540977255
229,0.20376981134256691
230,0.18961695206139917
231,0.12855813764131646
232,0.2618098242528532
233,0.24932024519925228
234,0.2577871478537596
235,0.5194584295467499
236,0.48662404297891254
237,0.06046437680654843
238,0.1012292368365675
239,0.06707320523300314
240,0.06497771431524561
241,0.05775422208484636
242,0.04679843712433014
243,0.06970827762843261
244,0.06499177961283632
245,0.06454697306248007
246,0.05527557875649078
247,0.0691967192472489
248,0.07616597017335738
249,0.13979822234942169
250,0.08305526001875158
251,0.10215546257988746
252,0.1297311152334427
253,0.12279774107582633
