Time (seconds),Standard Error Mean
0,0.09746172152838849
1,0.2057857580009558
2,0.4476156311700601
3,0.44284790473768393
4,0.41214145480122855
5,0.4208584026569449
6,0.3782687969054454
7,0.37096954781376795
8,0.28670011772395987
9,0.1412300572785061
10,0.13026542698782032
11,0.055711442043386766
12,0.05850541676915045
13,0.05144648511282399
14,0.04958138755295531
15,0.04909231497516103
16,0.048986965552892336
17,0.0549883595786691
18,0.05236745180084514
19,0.06147314653043939
20,0.0602017908268198
21,0.0656358829230357
22,0.07664351456841206
23,0.24607723195024292
24,0.2624052142417858
25,0.2824095796106893
26,0.08854325462946758
27,0.07798540800049851
28,0.08800076680689546
29,0.0805162800099858
30,0.07969030319865827
31,0.08342891113490342
32,0.07624972156930962
33,0.08495226431447495
34,0.08092401104762137
35,0.07953704321381509
36,0.0744704294259024
37,0.07678444525817206
38,0.08074727686926178
39,0.08547392216304986
40,0.08056933111633209
41,0.07882367425887037
42,0.08244004681220236
43,0.0729167495819511
44,0.06713624005660684
45,0.07208958673841738
46,0.06543710041868059
47,0.07439190139669433
48,0.0719423183038715
49,0.06462295106885464
50,0.07410671258364909
51,0.06341046226932742
52,0.06321616623083505
53,0.07095330078865608
54,0.06024458346357261
55,0.06359826102065058
56,0.06767033441209765
57,0.05904782795674807
58,0.06317313177966936
59,0.06960074999573206
60,0.049417550358683046
61,0.10356927441376879
62,0.09757507921028866
63,0.042753199609589884
64,0.04446582100503104
65,0.07324730216619921
66,0.0739250225151829
67,0.06844870061137155
68,0.0649512890330675
69,0.06847410242931858
70,0.05930722565714055
71,0.06097401743661027
72,0.062103676854750364
73,0.053593005890027794
74,0.05923035162769018
75,0.05576878079038916
76,0.0392388575352692
77,0.03850768749528389
78,0.0374021663205955
79,0.03239986247957757
